,labels_s3_HDBSCAN_params1,labels_s3_HDBSCAN_params10,labels_s3_HDBSCAN_params11,labels_s3_HDBSCAN_params12,labels_s3_HDBSCAN_params13,labels_s3_HDBSCAN_params14,labels_s3_HDBSCAN_params15,labels_s3_HDBSCAN_params16,labels_s3_HDBSCAN_params17,labels_s3_HDBSCAN_params18,labels_s3_HDBSCAN_params19,labels_s3_HDBSCAN_params2,labels_s3_HDBSCAN_params20,labels_s3_HDBSCAN_params21,labels_s3_HDBSCAN_params22,labels_s3_HDBSCAN_params23,labels_s3_HDBSCAN_params24,labels_s3_HDBSCAN_params25,labels_s3_HDBSCAN_params26,labels_s3_HDBSCAN_params27,labels_s3_HDBSCAN_params28,labels_s3_HDBSCAN_params29,labels_s3_HDBSCAN_params3,labels_s3_HDBSCAN_params30,labels_s3_HDBSCAN_params31,labels_s3_HDBSCAN_params32,labels_s3_HDBSCAN_params33,labels_s3_HDBSCAN_params34,labels_s3_HDBSCAN_params35,labels_s3_HDBSCAN_params36,labels_s3_HDBSCAN_params37,labels_s3_HDBSCAN_params38,labels_s3_HDBSCAN_params39,labels_s3_HDBSCAN_params4,labels_s3_HDBSCAN_params40,labels_s3_HDBSCAN_params41,labels_s3_HDBSCAN_params42,labels_s3_HDBSCAN_params43,labels_s3_HDBSCAN_params44,labels_s3_HDBSCAN_params45,labels_s3_HDBSCAN_params46,labels_s3_HDBSCAN_params47,labels_s3_HDBSCAN_params48,labels_s3_HDBSCAN_params49,labels_s3_HDBSCAN_params5,labels_s3_HDBSCAN_params50,labels_s3_HDBSCAN_params51,labels_s3_HDBSCAN_params52,labels_s3_HDBSCAN_params53,labels_s3_HDBSCAN_params54,labels_s3_HDBSCAN_params55,labels_s3_HDBSCAN_params56,labels_s3_HDBSCAN_params57,labels_s3_HDBSCAN_params58,labels_s3_HDBSCAN_params59,labels_s3_HDBSCAN_params6,labels_s3_HDBSCAN_params60,labels_s3_HDBSCAN_params61,labels_s3_HDBSCAN_params62,labels_s3_HDBSCAN_params63,labels_s3_HDBSCAN_params64,labels_s3_HDBSCAN_params65,labels_s3_HDBSCAN_params66,labels_s3_HDBSCAN_params67,labels_s3_HDBSCAN_params68,labels_s3_HDBSCAN_params69,labels_s3_HDBSCAN_params7,labels_s3_HDBSCAN_params70,labels_s3_HDBSCAN_params71,labels_s3_HDBSCAN_params72,labels_s3_HDBSCAN_params8,labels_s3_HDBSCAN_params9
B,0.5401812096799223,0.8374079580725594,0.8374079580725594,0.8374079580725594,0.8501512880843624,0.6915698845199886,1.5783707869500445,1.5783707869500445,1.5783707869500445,1.5783707869500445,0.4893960350810994,2.0358289972392085,1.7727580426045562,1.7727580426045562,1.7727580426045562,1.7727580426045562,1.7727580426045562,0.6319474970688994,1.6823603594268974,1.6823603594268974,1.6823603594268974,1.6823603594268974,2.1486252994750545,1.6823603594268974,0.8510860982835604,0.9943889843873871,1.5783707869500445,1.5783707869500445,1.5783707869500445,1.5783707869500445,0.6505337532341234,1.7727580426045562,1.7727580426045562,2.1486252994750545,1.7727580426045562,1.7727580426045562,1.7727580426045562,0.8187603453138306,1.6823603594268974,1.6823603594268974,1.6823603594268974,1.6823603594268974,1.6823603594268974,0.8428095848282787,2.1486252994750545,1.093645305503236,1.5783707869500445,1.5783707869500445,1.5783707869500445,1.5783707869500445,0.5377341378422894,1.7727580426045562,1.7727580426045562,1.7727580426045562,1.7727580426045562,2.1486252994750545,1.7727580426045562,0.7581249027531061,1.6823603594268974,1.6823603594268974,1.6823603594268974,1.6823603594268974,1.6823603594268974,0.8428095848282787,1.093645305503236,1.5783707869500445,0.5818020121522469,1.5783707869500445,1.5783707869500445,1.5783707869500445,1.6478040086092391,0.8374079580725594
BH,0.0084043744940815,531.7120603895954,531.7120603895954,531.7120603895954,0.6611449779385913,5.2471391610977935,276.9326307879763,276.9326307879763,276.9326307879763,276.9326307879763,0.08776279333472761,299.18017095422414,318.5434568263787,318.5434568263787,318.5434568263787,318.5434568263787,318.5434568263787,0.4219906329960431,295.51127650198856,295.51127650198856,295.51127650198856,295.51127650198856,622.7551275192865,295.51127650198856,0.7479219128438402,6.9603811722525295,276.9326307879763,276.9326307879763,276.9326307879763,276.9326307879763,0.2514711891668456,318.5434568263787,318.5434568263787,622.7551275192865,318.5434568263787,318.5434568263787,318.5434568263787,0.6850257536425143,295.51127650198856,295.51127650198856,295.51127650198856,295.51127650198856,295.51127650198856,0.9469295166431512,622.7551275192865,7.539979698463522,276.9326307879763,276.9326307879763,276.9326307879763,276.9326307879763,0.9347993741516112,318.5434568263787,318.5434568263787,318.5434568263787,318.5434568263787,622.7551275192865,318.5434568263787,0.8752673426219041,295.51127650198856,295.51127650198856,295.51127650198856,295.51127650198856,295.51127650198856,0.9469295166431512,7.539979698463522,276.9326307879763,0.1240966451374671,276.9326307879763,276.9326307879763,276.9326307879763,177.30921293443885,531.7120603895954
D,0.017577736417124946,0.40728808253038645,0.40728808253038645,0.40728808253038645,0.12651991277526342,0.03989641747970797,0.23713809022280974,0.23713809022280974,0.23713809022280974,0.23713809022280974,0.06661739542906255,0.004133944530906883,0.18356932180785268,0.18356932180785268,0.18356932180785268,0.18356932180785268,0.18356932180785268,0.04159074758568928,0.21823080888287102,0.21823080888287102,0.21823080888287102,0.21823080888287102,0.24096281154164556,0.21823080888287102,0.12171986212792273,0.03549141937255816,0.23713809022280974,0.23713809022280974,0.23713809022280974,0.23713809022280974,0.1094732744435995,0.18356932180785268,0.18356932180785268,0.24096281154164556,0.18356932180785268,0.18356932180785268,0.18356932180785268,0.051984839346826614,0.21823080888287102,0.21823080888287102,0.21823080888287102,0.21823080888287102,0.21823080888287102,0.12380711404341938,0.24096281154164556,0.03769315815893121,0.23713809022280974,0.23713809022280974,0.23713809022280974,0.23713809022280974,0.09727865125732767,0.18356932180785268,0.18356932180785268,0.18356932180785268,0.18356932180785268,0.24096281154164556,0.18356932180785268,0.05031176643773793,0.21823080888287102,0.21823080888287102,0.21823080888287102,0.21823080888287102,0.21823080888287102,0.12380711404341938,0.03769315815893121,0.23713809022280974,0.08667955528120458,0.23713809022280974,0.23713809022280974,0.23713809022280974,0.0024121545258622905,0.40728808253038645
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.24714620438642482,-0.7254917557600217,-0.7254917557600217,-0.7254917557600217,0.43046694526455137,0.3971498877918128,0.41031803743206957,0.41031803743206957,0.41031803743206957,0.41031803743206957,0.058817318769379505,-0.8127431729339238,-0.3970123995234103,-0.3970123995234103,-0.3970123995234103,-0.3970123995234103,-0.3970123995234103,0.27561913439601865,-0.29824178978118926,-0.29824178978118926,-0.29824178978118926,-0.29824178978118926,-0.7487855467556364,-0.29824178978118926,0.42055706581764435,0.37695839659406466,0.41031803743206957,0.41031803743206957,0.41031803743206957,0.41031803743206957,-0.04668682808905848,-0.3970123995234103,-0.3970123995234103,-0.7487855467556364,-0.3970123995234103,-0.3970123995234103,-0.3970123995234103,0.3009577004025929,-0.29824178978118926,-0.29824178978118926,-0.29824178978118926,-0.29824178978118926,-0.29824178978118926,0.41001857537493924,-0.7487855467556364,0.3749477444133895,0.41031803743206957,0.41031803743206957,0.41031803743206957,0.41031803743206957,-0.07442645154563393,-0.3970123995234103,-0.3970123995234103,-0.3970123995234103,-0.3970123995234103,-0.7487855467556364,-0.3970123995234103,0.3196555770808517,-0.29824178978118926,-0.29824178978118926,-0.29824178978118926,-0.29824178978118926,-0.29824178978118926,0.41001857537493924,0.3749477444133895,0.41031803743206957,0.2703679461571796,0.41031803743206957,0.41031803743206957,0.41031803743206957,-0.44588255577591135,-0.7254917557600217
I,0.3611084762426212,0.12050512647669626,0.12050512647669626,0.12050512647669626,2.279776286241838,0.7176331060705791,0.2715156591617481,0.2715156591617481,0.2715156591617481,0.2715156591617481,0.7719061209960634,0.1041899905886394,0.20965531142610033,0.20965531142610033,0.20965531142610033,0.20965531142610033,0.20965531142610033,1.9740164392817587,0.24024175836558542,0.24024175836558542,0.24024175836558542,0.24024175836558542,0.0414736864737296,0.24024175836558542,2.7246399458912762,0.7915434124321531,0.2715156591617481,0.2715156591617481,0.2715156591617481,0.2715156591617481,0.962329770910556,0.20965531142610033,0.20965531142610033,0.0414736864737296,0.20965531142610033,0.20965531142610033,0.20965531142610033,2.2906947387477654,0.24024175836558542,0.24024175836558542,0.24024175836558542,0.24024175836558542,0.24024175836558542,3.4231895440080193,0.0414736864737296,0.8999890625971467,0.2715156591617481,0.2715156591617481,0.2715156591617481,0.2715156591617481,1.0848917245390461,0.20965531142610033,0.20965531142610033,0.20965531142610033,0.20965531142610033,0.0414736864737296,0.20965531142610033,2.2771393522605683,0.24024175836558542,0.24024175836558542,0.24024175836558542,0.24024175836558542,0.24024175836558542,3.4231895440080193,0.8999890625971467,0.2715156591617481,1.4768796574776892,0.2715156591617481,0.2715156591617481,0.2715156591617481,0.10616894027959599,0.12050512647669626
C,0.5099817397166602,0.4258746500997683,0.4258746500997683,0.4258746500997683,0.4452585123764142,0.37441126364797084,0.2515236318937062,0.2515236318937062,0.2515236318937062,0.2515236318937062,0.48305064221704846,0.40746889400843206,0.21541298655724922,0.21541298655724922,0.21541298655724922,0.21541298655724922,0.21541298655724922,0.46482085092004977,0.23103224359780494,0.23103224359780494,0.23103224359780494,0.23103224359780494,0.40878700030923376,0.23103224359780494,0.44464407936554556,0.34715185787931635,0.2515236318937062,0.2515236318937062,0.2515236318937062,0.2515236318937062,0.43733082700774695,0.21541298655724922,0.21541298655724922,0.40878700030923376,0.21541298655724922,0.21541298655724922,0.21541298655724922,0.4439166185515612,0.23103224359780494,0.23103224359780494,0.23103224359780494,0.23103224359780494,0.23103224359780494,0.44672449186483965,0.40878700030923376,0.349465586536243,0.2515236318937062,0.2515236318937062,0.2515236318937062,0.2515236318937062,0.39316382910777015,0.21541298655724922,0.21541298655724922,0.21541298655724922,0.21541298655724922,0.40878700030923376,0.21541298655724922,0.44478874661092993,0.23103224359780494,0.23103224359780494,0.23103224359780494,0.23103224359780494,0.23103224359780494,0.44672449186483965,0.349465586536243,0.2515236318937062,0.47640279545766956,0.2515236318937062,0.2515236318937062,0.2515236318937062,0.23044366537275837,0.4258746500997683
CDbw,0.33942694474189505,0.052070416273971264,0.052070416273971264,0.052070416273971264,0.5783567080053659,0.5215517986172168,0.06542879384206202,0.06542879384206202,0.06542879384206202,0.06542879384206202,0.4094711549063074,0.33485730521173024,0.0618737492637517,0.0618737492637517,0.0618737492637517,0.0618737492637517,0.0618737492637517,0.43124315874880154,0.065356600427153,0.065356600427153,0.065356600427153,0.065356600427153,0.13060043611834535,0.065356600427153,0.6470815730783916,0.4701448346447893,0.06542879384206202,0.06542879384206202,0.06542879384206202,0.06542879384206202,0.4438481541715039,0.0618737492637517,0.0618737492637517,0.13060043611834535,0.0618737492637517,0.0618737492637517,0.0618737492637517,0.5458065106897724,0.065356600427153,0.065356600427153,0.065356600427153,0.065356600427153,0.065356600427153,0.5036505592776417,0.13060043611834535,0.34238474149720494,0.06542879384206202,0.06542879384206202,0.06542879384206202,0.06542879384206202,0.4388580077072456,0.0618737492637517,0.0618737492637517,0.0618737492637517,0.0618737492637517,0.13060043611834535,0.0618737492637517,0.4847245725610251,0.065356600427153,0.065356600427153,0.065356600427153,0.065356600427153,0.065356600427153,0.5036505592776417,0.34238474149720494,0.06542879384206202,0.4886265578028614,0.06542879384206202,0.06542879384206202,0.06542879384206202,0.15245857850731556,0.052070416273971264
VIASCKDE,0.3258936305753674,0.4297534699189182,0.4297534699189182,0.4297534699189182,0.5166487014439483,0.5016988882173475,0.42968028059255775,0.42968028059255775,0.42968028059255775,0.42968028059255775,0.44472086598471133,0.5366872188690041,0.49825598621598827,0.49825598621598827,0.49825598621598827,0.49825598621598827,0.49825598621598827,0.48651835857464276,0.4496092667086166,0.4496092667086166,0.4496092667086166,0.4496092667086166,0.573145549990876,0.4496092667086166,0.5180568123070671,0.5087233141432335,0.42968028059255775,0.42968028059255775,0.42968028059255775,0.42968028059255775,0.4757840752971116,0.49825598621598827,0.49825598621598827,0.573145549990876,0.49825598621598827,0.49825598621598827,0.49825598621598827,0.49243393062393254,0.4496092667086166,0.4496092667086166,0.4496092667086166,0.4496092667086166,0.4496092667086166,0.520071088522836,0.573145549990876,0.5106790841338513,0.42968028059255775,0.42968028059255775,0.42968028059255775,0.42968028059255775,0.4845005009577421,0.49825598621598827,0.49825598621598827,0.49825598621598827,0.49825598621598827,0.573145549990876,0.49825598621598827,0.49177261240015285,0.4496092667086166,0.4496092667086166,0.4496092667086166,0.4496092667086166,0.4496092667086166,0.520071088522836,0.5106790841338513,0.42968028059255775,0.47190229483683405,0.42968028059255775,0.42968028059255775,0.42968028059255775,0.4474275473919597,0.4297534699189182
COP,0.3135146189065125,0.4617159222023303,0.4617159222023303,0.4617159222023303,0.28792065504635955,0.29725237532669796,0.39359570836197816,0.39359570836197816,0.39359570836197816,0.39359570836197816,0.30409695488947863,0.47207735101739645,0.3846054353618648,0.3846054353618648,0.3846054353618648,0.3846054353618648,0.3846054353618648,0.2963002693106003,0.38612820829884553,0.38612820829884553,0.38612820829884553,0.38612820829884553,0.44167088724958004,0.38612820829884553,0.28882001567077514,0.2947279987547355,0.39359570836197816,0.39359570836197816,0.39359570836197816,0.39359570836197816,0.2705204415676038,0.3846054353618648,0.3846054353618648,0.44167088724958004,0.3846054353618648,0.3846054353618648,0.3846054353618648,0.2817373421527382,0.38612820829884553,0.38612820829884553,0.38612820829884553,0.38612820829884553,0.38612820829884553,0.2879674364793496,0.44167088724958004,0.2960475827200788,0.39359570836197816,0.39359570836197816,0.39359570836197816,0.39359570836197816,0.26978206482546446,0.3846054353618648,0.3846054353618648,0.3846054353618648,0.3846054353618648,0.44167088724958004,0.3846054353618648,0.28653563036894664,0.38612820829884553,0.38612820829884553,0.38612820829884553,0.38612820829884553,0.38612820829884553,0.2879674364793496,0.2960475827200788,0.39359570836197816,0.30329828139693493,0.39359570836197816,0.39359570836197816,0.39359570836197816,0.3896136001256658,0.4617159222023303
Sym,0.00023481047713054358,0.0026521291399946244,0.0026521291399946244,0.0026521291399946244,0.001863197258414069,0.002014209931662465,0.0013476333753231896,0.0013476333753231896,0.0013476333753231896,0.0013476333753231896,0.0006340292726036453,0.002945696234135591,0.0014473496240402118,0.0014473496240402118,0.0014473496240402118,0.0014473496240402118,0.0014473496240402118,0.0014999177960467601,0.001365948232535427,0.001365948232535427,0.001365948232535427,0.001365948232535427,0.0023060679361975524,0.001365948232535427,0.002040806002212455,0.002210552951501734,0.0013476333753231896,0.0013476333753231896,0.0013476333753231896,0.0013476333753231896,0.0008973041110457607,0.0014473496240402118,0.0014473496240402118,0.0023060679361975524,0.0014473496240402118,0.0014473496240402118,0.0014473496240402118,0.0019538539956538317,0.001365948232535427,0.001365948232535427,0.001365948232535427,0.001365948232535427,0.001365948232535427,0.0023845573330836013,0.0023060679361975524,0.0022989041592017465,0.0013476333753231896,0.0013476333753231896,0.0013476333753231896,0.0013476333753231896,0.0016964961761835513,0.0014473496240402118,0.0014473496240402118,0.0014473496240402118,0.0014473496240402118,0.0023060679361975524,0.0014473496240402118,0.002098918447682507,0.001365948232535427,0.001365948232535427,0.001365948232535427,0.001365948232535427,0.001365948232535427,0.0023845573330836013,0.0022989041592017465,0.0013476333753231896,0.0008046746832713434,0.0013476333753231896,0.0013476333753231896,0.0013476333753231896,0.0009109771528200356,0.0026521291399946244
CS,0.7874157865360959,3.273399950214324,3.273399950214324,3.273399950214324,1.0366797169041504,1.2372636046138965,3.2399596611281263,3.2399596611281263,3.2399596611281263,3.2399596611281263,1.0590267625161063,1.5593695355790766,3.50202596414483,3.50202596414483,3.50202596414483,3.50202596414483,3.50202596414483,1.149795659675474,3.334905875826371,3.334905875826371,3.334905875826371,3.334905875826371,4.252224407725819,3.334905875826371,1.0490931430690624,1.3132780664479458,3.2399596611281263,3.2399596611281263,3.2399596611281263,3.2399596611281263,1.2282089519292576,3.50202596414483,3.50202596414483,4.252224407725819,3.50202596414483,3.50202596414483,3.50202596414483,1.0927223699746162,3.334905875826371,3.334905875826371,3.334905875826371,3.334905875826371,3.334905875826371,1.024739632788378,4.252224407725819,1.2961612616386138,3.2399596611281263,3.2399596611281263,3.2399596611281263,3.2399596611281263,1.2553255062189659,3.50202596414483,3.50202596414483,3.50202596414483,3.50202596414483,4.252224407725819,3.50202596414483,1.067160839032012,3.334905875826371,3.334905875826371,3.334905875826371,3.334905875826371,3.334905875826371,1.024739632788378,1.2961612616386138,3.2399596611281263,0.9767748726816732,3.2399596611281263,3.2399596611281263,3.2399596611281263,2.1338875504182044,3.273399950214324
SF,0.02532257045328634,0.23534019834202669,0.23534019834202669,0.23534019834202669,0.19030900606752188,0.18034153525938734,0.21690363204631735,0.21690363204631735,0.21690363204631735,0.21690363204631735,0.09434660370187808,0.1960709359007191,0.2045913736606887,0.2045913736606887,0.2045913736606887,0.2045913736606887,0.2045913736606887,0.17294131308672422,0.2113800186195497,0.2113800186195497,0.2113800186195497,0.2113800186195497,0.19727223177749975,0.2113800186195497,0.1936530120086024,0.1806251645700906,0.21690363204631735,0.21690363204631735,0.21690363204631735,0.21690363204631735,0.12402615482303203,0.2045913736606887,0.2045913736606887,0.19727223177749975,0.2045913736606887,0.2045913736606887,0.2045913736606887,0.18450928495691088,0.2113800186195497,0.2113800186195497,0.2113800186195497,0.2113800186195497,0.2113800186195497,0.19806332424240625,0.19727223177749975,0.18379699485303014,0.21690363204631735,0.21690363204631735,0.21690363204631735,0.21690363204631735,0.14201853678792453,0.2045913736606887,0.2045913736606887,0.2045913736606887,0.2045913736606887,0.19727223177749975,0.2045913736606887,0.1805951001727334,0.2113800186195497,0.2113800186195497,0.2113800186195497,0.2113800186195497,0.2113800186195497,0.19806332424240625,0.18379699485303014,0.21690363204631735,0.15571023848434395,0.21690363204631735,0.21690363204631735,0.21690363204631735,0.19921372891158018,0.23534019834202669
SD,8058139.389684981,992425319.9394543,992425319.9394543,992425319.9394543,76271931.28188394,128771311.27859049,931761872.6863245,931761872.6863245,931761872.6863245,931761872.6863245,23235892.59343345,592311422.0908201,1030071956.3065815,1030071956.3065815,1030071956.3065815,1030071956.3065815,1030071956.3065815,58380655.54812282,970671451.1112769,970671451.1112769,970671451.1112769,970671451.1112769,1291026761.479891,970671451.1112769,84485791.75171888,153569036.8337824,931761872.6863245,931761872.6863245,931761872.6863245,931761872.6863245,37932734.34326482,1030071956.3065815,1030071956.3065815,1291026761.479891,1030071956.3065815,1030071956.3065815,1030071956.3065815,75701740.35338043,970671451.1112769,970671451.1112769,970671451.1112769,970671451.1112769,970671451.1112769,102524310.03029332,1291026761.479891,166694574.991345,931761872.6863245,931761872.6863245,931761872.6863245,931761872.6863245,74612796.29551959,1030071956.3065815,1030071956.3065815,1030071956.3065815,1030071956.3065815,1291026761.479891,1030071956.3065815,88061336.26158871,970671451.1112769,970671451.1112769,970671451.1112769,970671451.1112769,970671451.1112769,102524310.03029332,166694574.991345,931761872.6863245,28827168.699903987,931761872.6863245,931761872.6863245,931761872.6863245,583705978.3620118,992425319.9394543
SDbw,0.049486638476046604,1.8273526096808776,1.8273526096808776,1.8273526096808776,0.2825704416829177,0.4091960095625775,1.730823339902757,1.730823339902757,1.730823339902757,1.730823339902757,0.13229103085841792,1.66284784031971,1.7443894581674313,1.7443894581674313,1.7443894581674313,1.7443894581674313,1.7443894581674313,0.2133823332989178,1.7261567285879589,1.7261567285879589,1.7261567285879589,1.7261567285879589,2.3646811854172647,1.7261567285879589,0.3188111957979864,0.5064032040237121,1.730823339902757,1.730823339902757,1.730823339902757,1.730823339902757,0.19296284977979417,1.7443894581674313,1.7443894581674313,2.3646811854172647,1.7443894581674313,1.7443894581674313,1.7443894581674313,0.2920379684456229,1.7261567285879589,1.7261567285879589,1.7261567285879589,1.7261567285879589,1.7261567285879589,0.3867294758155888,2.3646811854172647,0.5540614223389324,1.730823339902757,1.730823339902757,1.730823339902757,1.730823339902757,0.3012608379976096,1.7443894581674313,1.7443894581674313,1.7443894581674313,1.7443894581674313,2.3646811854172647,1.7443894581674313,0.35065213208567286,1.7261567285879589,1.7261567285879589,1.7261567285879589,1.7261567285879589,1.7261567285879589,0.3867294758155888,0.5540614223389324,1.730823339902757,0.15856237475629037,1.730823339902757,1.730823339902757,1.730823339902757,1.4141914969612042,1.8273526096808776
